"LOCATION","MEAN_RATE_NEO","MEAN_RATE_NEO_U5","FERTILITY_RATE_LAGGED","PLUS_65_YEARS_LAGGED","PUBLIC_EXP_PER_CAP_LAGGED","HEALTH_EXP_LAGGED","GDP_PER_CAP_LAGGED","OOP_PER_CAP_LAGGED","GINI_LAGGED","POVERTY_GAP_LAGGED","INFLATION_LAGGED","UNEMPLOYMENT_LAGGED","BASIC_SANITATION_LAGGED","BASIC_WATER_LAGGED","UNEMPLOYMENT_FEM_LAGGED","SCHOOL_FEM_LAGGED","WOMEN_PARLIAMENT_LAGGED","SCHOOL_LIFE_EXP_LAGGED","OUT_OF_SCHOOL_LAGGED","CONTROL_CORRUPTION_LAGGED","GOV_EFFECTIVENESS_LAGGED","POLITICAL_STABILITY_LAGGED","REGULATORY_QUALITY_LAGGED","RULE_OF_LAW_LAGGED","UNDERNOURISHMENT_LAGGED","DOCTORS_LAGGED","DELIVERY_ASSISTANCE_LAGGED","AIDS_PREVALENCE_LAGGED","MALARIA_INCIDENCE_LAGGED","DPT_LAGGED","HOSPITAL_BEDS_LAGGED","ELECTRICITY_LAGGED","URBAN_RATE_LAGGED","SURFACE","pop","POP_DENS","LONG","LAT","OTHER_EXP_LAGGED"
"Belarus",2.43095742184407,3.17162683497182,1.5569393862677,0.136232840018167,972.516837755036,73.9681170192733,1746.73885108117,28.5235346814085,22.1666666666667,0,40.0613941260648,6.10066668192545,95.9876347114234,97.2711719401026,4.64233334859212,7.27718666666667,30.0806227411732,7.36030666666667,2.02325666666667,-0.6303488,-1.0312003,-0.0380479666666667,-1.12606466666667,-1.03798963333333,2.5,4.28203333333333,99.9,0.233333333333333,NA,98,11.3666666666667,100,75.1856666666667,207600,9645096.64886084,46.4600031255339,27.981352615448,53.5063447948111,898.548720735763
"Belgium",1.91916177027343,1.61473182720884,1.82154383959351,0.173627113979343,2220.98572503338,329.85123470268,3779.58749058752,68.9868925991853,22.3333333333333,0.1,2.85368158197033,7.65799983342489,99.4860688739872,99.9999975997977,7.70166651407878,9.62330666666667,38.4444444444444,9.08746333333333,1.64422666666667,1.57021266666667,1.611286,0.896260433333333,1.251743,1.41289433333333,2.5,2.92323333333333,NA,NA,NA,98.3333333333333,6.4,100,97.6976666666667,30530,10955837.7642943,358.854823593,4.58083411385493,50.652440959023,1891.1344903307
"Benin",31.102298486723,54.2395387084146,5.81291555736341,0.0276707241290633,941.442119395793,3.77885178472724,188.417861363783,3.41208126086562,34.5,19.1,3.88558564541505,2.11533331871033,13.9450030093128,64.9787903179167,2.30066668987274,2.63453,9.23694779116466,3.43893,NA,-0.703626166666667,-0.5519575,0.314661366666667,-0.352807266666667,-0.6407144,8.4,0.0927,80.9,1.1,378.631426603527,77,0.5,36.5,43.6086666666667,114760,9720369.69999964,84.7017227256853,2.33737755349616,9.6474307806637,937.663267611065
"Bosnia and Herzegovina",4.04507389199408,1.57056215882768,1.2388562381392,0.134691347634521,10505.043501694,221.97797928737,2635.58198444106,71.9750846305173,25.1,0,2.57337896249203,27.634667078654,95.236135307622,96.5714640365378,30.1686668395996,NA,19.8412698412698,NA,NA,-0.320826433333333,-0.647193366666667,-0.683891266666667,-0.0576492,-0.2967594,2.5,1.8757,99.9,NA,NA,89.6666666666667,3.46666666666667,99.8493857519622,45.8783333333333,51210,3715835.11204596,72.5607325140786,17.8168832703901,44.1807677629747,10283.0655224066
"Botswana",20.9718034615439,20.9860490063651,2.57421827865407,0.0347021453195483,7226.83829535033,334.06626530362,6644.23715110238,18.4303606452377,NA,NA,7.64855051081203,17.8713334401449,68.526527276982,84.2693256925763,21.3706665039063,NA,7.93650793650794,NA,NA,0.985366466666667,0.463382733333333,1.0532326,0.520170033333333,0.668278633333333,24.6666666666667,0.4067,99.5666666666667,23.1,0.809059609312051,95,1.8,51.0321509806315,63.6816666666667,581730,2035641.93344383,3.49928993423724,23.7730814657894,-22.0997113788264,6892.77203004671
"Brazil",10.3197307574648,10.25617468235,2.0500019382784,0.0737030542881169,31.9376258874728,2.86025978913345,74.1314933313635,1.70809319979729,42.15,1.65,5.69289188786053,7.27966658274333,83.0128922219786,96.564705810193,9.7113332748413,6.969275,8.57699805068226,6.68465,3.36431,0.0583016666666667,-0.0933537333333333,-0.0243793,0.137227433333333,0.0040973,2.5,1.8315,98.9666666666667,0.5,7.75831183691918,97.6666666666667,2.33333333333333,99.2437472135417,84.6296666666667,8515770,200581682.808808,23.5541451693514,-53.0543400357671,-10.8067736434989,29.0773660983393
"Bulgaria",3.60710070254499,3.92624739257629,1.51092798321027,0.185693127515096,987.311442056516,109.150642147348,2112.83539151348,69.6646862764968,26.7666666666667,0.833333333333333,3.2044874564567,11.2696669896444,85.9416319525945,99.3550975952726,10.1840000152588,7.23908333333333,21.5277777777778,7.37004333333333,6.06518,-0.211092466666667,0.122269633333333,0.347225133333333,0.585551166666667,-0.0887289,4.3,3.83743333333333,99.5,0.1,NA,94.6666666666667,6.5,100,72.6383333333333,111000,7365949.37529697,66.3599042819546,25.1951109532771,42.7531187620217,878.160799909168
"Burkina Faso",29.0383824595521,78.2401001309833,5.88885110870522,0.0296707645432946,435.76845514215,3.22064956463675,83.9770795904303,1.44781564788424,NA,NA,1.93789630546414,5.15366665522257,17.3863069841712,50.3708093085526,6.95233329137166,1.53942333333333,15.4595540422312,1.75946333333333,52.15048,-0.399119233333333,-0.583960466666667,-0.4153826,-0.151598766666667,-0.330078933333333,18.8666666666667,0.0439333333333333,65.9,1.13333333333333,539.4471237211,90.6666666666667,0.4,15.0744366963705,25.1986666666667,274220,17527127.1067141,63.9162975228432,-1.77653745205594,12.3116504941367,432.547805577513
"Burundi",24.4255333178773,40.7857139658684,6.12977922795848,0.023602610793805,1467.30316237252,3.09802260331502,79.1045955684471,2.02601551655264,NA,NA,11.4154924270273,1.71766666571299,45.9263714775178,57.1287383963021,1.26333332061768,1.60811,31.0092842168314,1.91022333333333,30.82981,-1.26851033333333,-1.16142566666667,-1.71263233333333,-1.02429856666667,-1.13920866666667,NA,0.0473333333333333,69.35,1.56666666666667,182.756862403446,96,1.9,5.91286001205444,10.917,27830,9270470.63413426,333.110694722755,29.9138922954257,-3.37739107535547,1464.2051397692
"Cambodia",17.3683046543449,14.8683485527862,2.94908719429114,0.0435186021299325,1058.47989741995,5.7856688919535,180.416585402833,7.52203745602065,NA,NA,4.13584733395406,0.617666681607564,40.8770325059258,69.1180588962602,0.592333336671193,NA,20.5962059620596,NA,23.9024533333333,-1.183958,-0.8738566,-0.302993766666667,-0.466790666666667,-1.04774076666667,14,0.2072,72,0.8,31.8566327209232,90.3333333333333,0.77,36.9475382486979,20.6646666666667,181040,14755235.4043072,81.5026259628104,104.876085325252,12.6847286293935,1052.694228528
"Cameroon",24.4288598920924,48.4558356047391,4.8336234539906,0.027622679078792,375.215211007811,1.33348888273165,130.565902741992,3.55694180254633,NA,NA,2.3192046669714,3.97200004259745,38.9809934583637,60.2657992641592,4.68633349736532,3.275995,13.8888888888889,3.580935,38.07082,-1.15594033333333,-0.8927124,-0.662392266666667,-0.826607066666667,-1.062413,8.16666666666667,0.08615,56.1,4.2,268.586844138954,83.6666666666667,1.3,53.9429954528809,52.164,475440,22767357.7839945,47.8869211340959,12.6115515465018,5.6630952879927,373.881722125079
"Canada",3.00552962003225,1.92000059731364,1.68654990581443,0.146729536732697,508.364640882197,98.5172803411583,1208.56902787757,17.8528730329786,25.7,0.1,2.06822828696502,7.6196665763855,99.5173900768942,99.2939814432807,7.01999998092651,6.23971,23.8363156929932,6.28882666666667,0.30094,1.991606,1.77576166666667,1.04217006666667,1.70050566666667,1.76860933333333,2.5,2.2173,98.8333333333333,NA,NA,89,2.7,100,81.0566666666667,9984670,33952077.1425772,3.40042055897463,-98.142381372097,61.4690761453489,409.847360541038
"Central African Republic",40.0030811174486,84.5170506599448,5.2940119292612,0.0224388351480142,3390.17076810629,4.36568871503236,193.134750732304,3.29974857375919,NA,NA,NA,3.93200000127157,23.9447708165852,46.9826032176212,3.82799998919169,0.89015,11.5384615384615,1.27694,55.710265,-0.956380733333333,-1.37287933333333,-1.88764566666667,-1.14280733333333,-1.342777,NA,NA,40,4.83333333333333,422.310445446874,46.3333333333333,1,10.8031955718994,39.1423333333333,622980,4700682.50565706,7.54547899717015,20.3743472912439,6.54277870592131,3385.80507939125
"Chad",32.6215419747365,77.9305476216297,7.18608417385298,0.0265941875262982,761.233474534891,2.51108322000957,157.256274082254,3.88904951185063,32.4,15.2,2.48933281233408,1.63566668828328,10.0371738769333,39.6528063738287,1.30133334795634,0.965306666666667,10.9402882635552,1.5861,NA,-1.341197,-1.44186833333333,-1.29567666666667,-1.055336,-1.48120666666667,39.3,0.0413,16.6,1.5,210.587086348196,37.3333333333333,NA,6.70455468495687,22.0603333333333,1284000,12216174.5211897,9.51415461151848,18.5813295253329,15.3288673998397,758.722391314882
"Chile",4.0872043633774,2.94770490942289,1.84269534576468,0.0963169466474652,393.270358514085,53.3766805546896,1194.79626832394,27.9486642247711,37.3,0.2,2.58645880808889,7.47566652297974,97.8043942768919,98.6580636311992,8.96700032552084,5.46476,14.1666666666667,5.37522333333333,2.90187333333333,1.53598533333333,1.26139866666667,0.487753333333333,1.478695,1.364443,3.5,1.5886,99.8366666666667,0.333333333333333,NA,92,2.1,99.6116857729492,87.1316666666667,756096.015625,16813670.7790538,22.2374809965839,-71.5206439451643,-39.0470143099484,339.893677959395
