"LOCATION","INCOME_CLASS","MEAN_RATE_NEO","MEAN_RATE_NEO_U5","FERTILITY_RATE_LAGGED","PLUS_65_YEARS_LAGGED","GDP_PPP_LAGGED1","TAX_PPP_LAGGED2","PUBLIC_EXP_LAGGED2","PROP_PUBLIC_HEALTH_EXP_LAGGED2","OOP_PPP_LAGGED3","GINI_LAGGED","POVERTY_GAP_LAGGED","INFLATION_LAGGED","UNEMPLOYMENT_LAGGED","BASIC_SANITATION_LAGGED","BASIC_WATER_LAGGED","UNEMPLOYMENT_FEM_LAGGED","SCHOOL_FEM_LAGGED","WOMEN_PARLIAMENT_LAGGED","SCHOOL_LIFE_EXP_LAGGED","OUT_OF_SCHOOL_LAGGED","CONTROL_CORRUPTION_LAGGED","GOV_EFFECTIVENESS_LAGGED","POLITICAL_STABILITY_LAGGED","REGULATORY_QUALITY_LAGGED","RULE_OF_LAW_LAGGED","UNDERNOURISHMENT_LAGGED","DOCTORS_LAGGED","DELIVERY_ASSISTANCE_LAGGED","AIDS_PREVALENCE_LAGGED","MALARIA_INCIDENCE_LAGGED","DPT_LAGGED","HOSPITAL_BEDS_LAGGED","ELECTRICITY_LAGGED","URBAN_RATE_LAGGED","SURFACE","pop","POP_DENS","LONG","LAT"
"Botswana","UM",20.9718034615439,20.9860490063651,2.40168440804788,0.0353583590083267,40317.7338267388,82407.5534843128,12732.5084210842,0.0273227057411229,18.4684873108869,38.3,6.8,5.94125425797386,17.8763332366943,71.6825626343821,86.4472800117469,21.199333190918,3.54288666666667,8.46560846560847,5.165775,14.42826,0.903887166666667,0.416261266666667,1.072745,0.592371033333333,0.630736433333333,21.1333333333333,0.4015,99.7333333333333,22.6666666666667,0.752145186828953,95,1.53333333333333,54.2154731750488,65.5693333333333,581730,2112585.45346472,3.63155665594815,23.7730814657894,-22.0997113788264
"Brazil","UM",10.3197307574648,10.25617468235,1.89683216885452,0.0779452951317199,19164.8339909038,23218.4396744973,7123.56405449637,0.051694773018311,224.03555657066,41.8666666666667,1.1,5.97894998731084,6.94099982579549,84.7925783505437,97.0232022058816,8.64800008138021,7.22801666666667,9.03183885640026,6.97074666666667,4.82485666666667,-0.153480566666667,-0.120138533333333,-0.0942939333333333,0.0297093666666667,-0.0664958,2.5,1.882,99.0666666666667,0.5,4.93308474949941,95,2.26666666666667,99.5816306666667,85.208,8515770,204969357.460973,24.0693862634821,-53.0543400357671,-10.8067736434989
"Bulgaria","UM",3.60710070254499,3.92624739257629,1.55486002953161,0.194857195948866,13349.3220401208,24221.5111229095,4502.15925003651,0.163510890391006,587.652893669453,27.9333333333333,0.666666666666667,0.808826012191594,12.2116667429606,85.9622514932887,99.2708844732899,11.0289999643962,7.67451,22.5,7.80857333333333,1.37023333333333,-0.247340266666667,0.125990166666667,0.2096951,0.556826333333333,-0.0778758666666667,3.7,3.94583333333333,99.7,0.1,7.97097718710294,92.6666666666667,6.7,100,73.313,111000,7243257.45497682,65.2545716664578,25.1951109532771,42.7531187620217
"Burkina Faso","L",29.0383824595521,78.2401001309833,5.68188237718103,0.0293366700252029,357454.837411315,450405.408161642,79796.5691879169,0.000784618915533699,29.3273521179101,29.6,11.2,1.36460046402635,6.05566660563151,18.1478956258852,49.4918118304904,8.64599990844727,1.85339666666667,15.748031496063,2.03276333333333,48.45341,-0.488938933333333,-0.621220166666667,-0.707882633333333,-0.200932133333333,-0.504833366666667,18,0.0477333333333333,44.3,1.03333333333333,483.709272520909,89.6666666666667,1.53333333333333,17.5615117390951,26.349,274220,18703706.5590436,68.2069380754269,-1.77653745205594,12.3116504941367
"Cambodia","LM",17.3683046543449,14.8683485527862,2.72430212266762,0.0457842003259573,3074914.96682871,3980303.02788667,584680.091196425,0.0000865245247359954,71.1672962298417,29.2,3.4,3.24352111051026,0.544999986886978,47.0688306189272,72.2504988977707,0.572666664918264,3.0424,20.3252032520325,3.6815,22.031605,-1.08676466666667,-0.803657666666667,-0.0722795,-0.367641733333333,-0.979667133333333,14.1,0.277866666666667,81.5,0.733333333333333,21.0068474454871,89,0.7,46.7414708455404,21.417,181040,15197003.6827973,83.942795419782,104.876085325252,12.6847286293935
"Cameroon","LM",24.4288598920924,48.4558356047391,4.22505051287168,0.027414823375357,649753.083582051,771193.765354335,130673.827404768,0.000220639876621235,79.4454203354367,35,8.4,2.21191723222946,3.69399992624919,38.9017882568083,60.2648489971374,4.27300008138021,3.54288666666667,25.3703703703704,3.86699,37.224825,-1.21019333333333,-0.8692641,-0.7266689,-0.916916166666667,-0.996306433333333,6.86666666666667,0.1658,64.7,3.96666666666667,244.084403474705,85.6666666666667,0.9,56.166468556722,53.3726666666667,475440,24344704.9211129,51.2045787504478,12.6115515465018,5.6630952879927
"Canada","H",3.00552962003225,1.92000059731364,1.62076742518499,0.154809970813921,56537.9525679619,66904.5872948898,21708.8533522039,0.156737133644773,592.206411541602,25.1,0.1,1.45353534541305,7.09333324432373,99.4403444075992,99.3417522349337,6.60166676839193,6.48738,24.8106941918017,6.48292,0.359006666666667,1.883465,1.771656,1.11664733333333,1.766314,1.80341333333333,2.5,2.44773333333333,98,1.5,0.564696776334724,91,2.7,100,81.1776666666667,9984670,34672785.0203103,3.47260200089841,-98.142381372097,61.4690761453489
"Central African Republic","L",40.0030811174486,84.5170506599448,4.90399404735359,0.0227933646127696,143197.940142472,79032.7999601377,17595.001340012,0.000750967157541379,8.59901655746915,33,21.3,2.2854078815463,3.9326666990916,24.9400284140655,46.0399718943222,3.85366662343343,0.86941,12.5,1.27752,55.90618,-1.08123386666667,-1.63558166666667,-2.235671,-1.21440233333333,-1.64404966666667,16.7,0.1844,55.6,4.5,404.317503353443,39,0.9,12.1890544891358,39.67,622980,4759985.15105812,7.64067089000949,20.3743472912439,6.54277870592131
"Chile","H",4.0872043633774,2.94770490942289,1.74306825135678,0.101229775873533,8203402.67359468,13200616.9630137,1900703.35041144,0.000410319399311836,462.164673035392,37.4,0.2,3.17189307350769,6.51266670227051,98.7854946738612,99.1559100312141,7.47599999109904,5.79695333333333,15.2777777777778,5.74177,2.10500666666667,1.53743066666667,1.22997466666667,0.380787166666667,1.50812633333333,1.397619,3.2,1.88516666666667,99.7933333333333,0.4,0,92,2.2,99.8178538004557,87.246,756096.015625,17110446.0312007,22.6299910032682,-71.5206439451643,-39.0470143099484
"China","UM",3.90875207020999,5.15878040413066,1.43480788185869,0.0970746463485807,54720.589567428,45123.7840968689,15438.8836715962,0.0266145535934216,204.981461611504,30.5,0.7,2.38740620261176,4.58966684341431,78.4446042606766,90.5083201863638,3.97733330726623,6.73169,22.7086159268329,6.83715333333333,3.47296666666667,-0.3780407,0.1166541,-0.535052,-0.270597533333333,-0.493985833333333,2.5,1.6192,99.8666666666667,0.133333333333333,0.000220423567130466,99,4.2,99.9659957885742,53.0123333333333,9562911.25,1381805454.22567,144.496316874808,103.883612300632,36.5550665318587
